field_1,est,alt,lon,lat,pr,t2m,newc
114042,MU?NI,3932,-69.9518055555555,-14.7669444444444,4.13258426966292,10.9022471910112,0
114040,PROGRESO,3925,-70.3678055555555,-14.6716944444444,4.83296703296703,10.9395604395604,1
114035,CHUQUIBAMBILLA,3918,-70.7284916666667,-14.7879055555556,6.4010989010989,9.96875,2
114038,AYAVIRI,3941,-70.5916111111111,-14.8687666666667,5.04175824175824,11.1626373626374,3
472E37C6,PALCA,4073,-70.59315,-15.2358666666667,5.86483516483516,8.72944139194139,4
115140,SANTA_LUCIA,4045,-70.5992722222222,-15.694075,4.74505494505495,10.3045454545455,5
115051,MA?ZO,3931,-70.3395,-15.7994444444444,4.19438202247191,11.1211111111111,6
472CB426,LARAQUERI,3928,-70.0458888888889,-16.1359166666667,4.26153846153846,9.27271062271062,7
116026,MAZO_CRUZ,3980,-69.7154444444444,-16.7388888888889,4.27752808988764,9.79230769230769,8
116029,PIZACOMA,3930,-69.3695277777778,-16.9043472222222,4.77912087912088,11.0241758241758,9
