,est,alt,lon,lat,pr
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,4.391111111111112
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,3.968131868131868
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,5.041758241758242
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,3.976404494382022
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,4.254945054945056
116075,CALLACAME,3862.0,-69.31697222222222,-16.57225,4.3439560439560445
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,4.721978021978022
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,3.743956043956044
116060,DESAGUADERO,3833.0,-69.03680555555556,-16.563277777777778,4.797802197802197
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,4.247252747252746
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,6.529670329670329
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,4.7835164835164825
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,3.2747252747252746
100065,ISLA_SOTO,3832.0,-69.48897222222223,-15.562194444444444,6.293406593406592
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,6.572527472527475
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,3.4439560439560433
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,4.239560439560439
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,4.230232558139535
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,4.194382022471911
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,4.2775280898876415
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,4.132584269662919
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,4.779120879120878
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,4.832967032967031
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,5.580219780219782
114093,PUTINA,3861.0,-69.87569444444443,-14.921,4.396703296703297
270200,RAMIS,3826.0,-69.87392777777778,-15.255808333333333,3.551648351648351
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,4.745054945054945
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,3.287912087912089
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,3.167032967032967
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,3.0736263736263734
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,3.6307692307692303
472E8448,LAGUNILLAS,4177.0,-70.67750000000002,-15.745616666666665,4.504395604395604
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,4.2615384615384615
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,5.864835164835164
