,est,alt,lon,lat,t2m
114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,5.408888888888889
115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,10.743333333333329
114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,11.162637362637364
114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,11.541573033707866
115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,11.481868131868131
100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,10.358241758241757
115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,7.145930232558139
115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,10.245054945054942
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,10.439560439560436
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,12.71609195402299
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,11.105555555555561
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,11.216483516483517
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,11.807692307692305
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,10.527472527472527
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,11.258139534883727
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,11.121111111111114
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,9.79230769230769
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,10.902247191011236
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,11.024175824175828
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,10.939560439560442
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,11.204395604395602
114093,PUTINA,3861.0,-69.87569444444443,-14.921,11.066483516483512
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,10.304545454545451
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,10.134883720930233
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,11.15164835164835
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,10.650097547380156
472E4156,ILLPA,3827.0,-70.079875,-15.687255555555556,11.915488569723477
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,10.538598901098904
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,9.27271062271062
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,8.729441391941387
472DD33A,PUNO,3812.0,-70.01208333333334,-15.82625,10.977854753941706
7boli0,Chijipina,3832.0,-68.69388900000007,-15.996943999999989,12.123255813953488
7boli1,Belen,3828.0,-68.71207200000008,-16.019295000000042,10.460465116279067
